,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Indonesia,Indonesia,GPE,-0.06182648,0.42480473,en,111.10000000,4026761-1,1643084,X,-5.00000000,120.00000000,ASIA,Indonesia,SEA
Philippines,Philippines,GPE,0.01499197,1.00518712,en,86.60000000,4045771-0,1694008,X,13.00000000,122.00000000,ASIA,,SEA
Vietnam,Vietnam,GPE,-0.11460778,0.76865807,en,69.70000000,4063514-4,1562822,X,16.16666900,107.83333000,ASIA,Vietnam,SEA
Jamaica,Jamaica,GPE,-0.07349611,0.60720317,en,53.50000000,4028456-6,3489940,X,18.25000000,-77.50000000,CENTRAL-AMERICA,Jamaica,CAR
Pakistan,Pakistan,GPE,-0.10040475,2.17983258,en,52.30000000,4075812-6,1168579,X,30.00000000,70.00000000,ASIA,Pakistan,WCA
Sri Lanka,Sri Lanka,GPE,-0.01105445,0.33873210,en,51.70000000,4009696-8,1227603,X,7.00000000,81.00000000,INDIAN,Sri Lanka,BOB
India,India,GPE,-0.23862254,1.65196632,en,51.10000000,,0,,,,,,
Thailand,Thailand,GPE,-0.08875195,0.53098579,en,41.50000000,4078228-1,1605651,X,15.00000000,100.00000000,ASIA,Thailand,SEA
Texas,Texas,GPE,-1.58544172,8.63932119,en,36.20000000,4059594-8,4736286,X,31.25044000,-99.25060900,NORTH-AMERICA,United States,CNA
California,California,GPE,0.00752736,1.49294723,en,33.10000000,,0,,,,,,
Bali,Bali,GPE,-0.10476640,0.50287811,en,26.50000000,,0,,,,,,
Arizona,Arizona,GPE,-0.12432870,0.51415355,en,25.30000000,4002920-7,5551752,X,34.50030000,-111.50097900,NORTH-AMERICA,United States,WNA
Gaza,Gaza,GPE,-0.07073737,0.53339394,en,25.00000000,,0,,,,,,
Nepal,Nepal,GPE,-0.00350926,1.29832709,en,24.70000000,4041612-4,1282988,X,28.00000000,84.00000000,ASIA,Nepal,TIB
Spain,Spain,GPE,-0.06033567,0.68960695,en,24.50000000,4055964-6,2510769,X,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
Punjab,Punjab,GPE,-0.05077801,0.63132204,en,24.10000000,,0,,,,,,
Taiwan,Taiwan,GPE,0.17560658,0.87373110,en,22.80000000,4017875-4,1668284,X,24.00000000,121.00000000,ASIA,Taiwan,EAS
Asia,Asia,LOC,-0.09345370,0.33256790,en,22.50000000,,0,,,,,,
Southeast Asia,Southeast Asia,LOC,-0.14091905,0.63250074,en,20.10000000,,0,,,,,,
Sumatra,Sumatra,GPE,-0.00005482,0.25961779,en,19.00000000,,0,,,,,,
Valencia,Valencia,GPE,-0.03952825,0.58846985,en,18.30000000,4062284-8,2509954,X,39.46972200,-0.37722200,EUROPE-AFRICA,Spain,MED
U.S.,U.S.,GPE,-0.17001314,4.82893816,en,17.90000000,,0,,,,,,
Malaysia,Malaysia,GPE,0.01965365,0.52526448,en,17.80000000,4037203-0,1733045,X,2.50000000,112.50000000,ASIA,Malaysia,SEA
Southern California,Southern California,LOC,0.02197781,1.09222453,en,17.40000000,,0,,,,,,
Jakarta,Jakarta,GPE,0.03049493,0.85328483,en,16.80000000,4012546-4,1642911,X,-6.21462000,106.84512900,ASIA,Indonesia,SEA
Caribbean,Caribbean,LOC,0.00861541,1.29681105,en,16.60000000,,0,,,,,,
Haiti,Haiti,GPE,-0.14287423,0.53164730,en,13.30000000,4022974-9,3723988,X,19.00000000,-72.41666900,CENTRAL-AMERICA,Haiti,CAR
Florida,Florida,GPE,0.07005828,1.88730963,en,13.00000000,4017585-6,4155751,X,28.75054000,-82.50010000,NORTH-AMERICA,United States,ENA
Alaska,Alaska,GPE,0.11075660,1.61742842,en,11.90000000,4001016-8,5879092,X,64.80000000,-150.80000000,NORTH-AMERICA,United States,NWN
Mexico,Mexico,GPE,-0.61557473,3.53912759,en,11.90000000,,0,,,,,,
US,US,GPE,-0.60741344,7.19132267,en,11.60000000,,0,,,,,,
Los Angeles,Los Angeles,GPE,-0.17352135,2.71819932,en,11.20000000,,0,,,,,,
Typhoon Bualoi,Typhoon Bualoi,LOC,0.03973351,0.57284112,en,10.90000000,,0,,,,,,
UK,UK,GPE,0.13263796,0.99564976,en,10.70000000,,0,,,,,,
Cebu,Cebu,LOC,-0.11761541,0.51251028,en,10.70000000,,0,,,,,,
China,China,GPE,0.34035971,6.86709624,en,9.50000000,4009937-4,1814991,X,35.00000000,105.00000000,ASIA,China,EAS
Wales,Wales,GPE,-0.11468254,0.80163850,en,9.30000000,,0,,,,,,
Kolkata,Kolkata,GPE,0.01113699,0.57675121,en,9.20000000,4029344-0,1275004,X,22.56262900,88.36303900,ASIA,India,SAS
Punjab province,Punjab province,GPE,-0.02992312,1.05272817,en,8.00000000,,0,,,,,,
the United States,the United States,GPE,0.26599569,2.90815319,en,7.90000000,,0,,,,,,
New York,New York,GPE,0.50258542,3.99490579,en,7.80000000,,0,,,,,,
Wexford,Wexford,GPE,-0.01125245,0.10322896,en,7.30000000,4405190-6,2960964,X,52.33417000,-6.45749900,EUROPE,,NEU
Jammu,Jammu,GPE,-0.27675907,1.67540321,en,7.00000000,4387357-1,1269321,X,32.73568900,74.86911000,ASIA,India,WCA
Delhi,Delhi,GPE,-0.16580087,1.17820346,en,7.00000000,4011371-1,1273294,X,28.65381000,77.22897000,ASIA,India,SAS
New York City,New York City,GPE,0.49238537,2.86512663,en,6.80000000,4042011-5,5128581,X,40.71416600,-74.00597000,NORTH-AMERICA,United States,ENA
Ilam,Ilam,GPE,0.08704606,0.48281926,en,6.60000000,,0,,,,,,
HANOI,HANOI,GPE,-0.15068721,0.95840413,en,6.50000000,,0,,,,,,
South Asia,South Asia,LOC,-0.28245908,0.81612723,en,6.40000000,,0,,,,,,
Mumbai,Mumbai,GPE,-0.08495107,1.67472183,en,6.40000000,10013721-0,1275339,X,19.07277700,72.88250000,ASIA,India,SAS
Japan,Japan,GPE,0.10603484,1.08376566,en,6.30000000,4028495-5,1861060,X,35.68536000,139.75308900,ASIA,Japan,EAS
Ireland,Ireland,GPE,0.20898297,1.07753136,en,6.20000000,4027667-3,2963597,X,53.00000000,-8.00000000,EUROPE,Ireland,NEU
London,London,GPE,0.20895883,1.08118338,en,6.20000000,4074335-4,2643743,X,51.50853000,-0.12574000,EUROPE,United Kingdom,NEU
Hong Kong,Hong Kong,GPE,-0.04301002,1.80655738,en,6.10000000,4025822-1,1819730,X,22.25000000,114.16666600,ASIA,Hong Kong,EAS
Denpasar,Denpasar,GPE,-0.05555556,0.40555556,en,6.00000000,4329689-0,1645528,X,-8.65000000,115.21666900,ASIA,Indonesia,SEA
Ibiza,Ibiza,GPE,0.02777778,0.08888889,en,6.00000000,,0,,,,,,
Kashmir,Kashmir,LOC,-0.81293030,3.03002428,en,6.00000000,,0,,,,,,
Tenerife,Tenerife,GPE,0.00277778,0.36111111,en,6.00000000,,0,,,,,,
B.C.,B.C.,GPE,0.03735632,0.20114943,en,5.80000000,,0,,,,,,
Atlantic,Atlantic,LOC,-0.03505892,1.47404795,en,5.80000000,,0,,,,,,
