,phrase,label,sentiment,subjectivity,language,count
Tuesday,Tuesday,DATE,,,en,177.60000000000062
Monday,Monday,DATE,,,en,175.6000000000006
Thursday,Thursday,DATE,,,en,150.3000000000004
Friday,Friday,DATE,,,en,147.40000000000046
one,one,CARDINAL,,,en,141.70000000000036
two,two,CARDINAL,,,en,132.8000000000003
Wednesday,Wednesday,DATE,,,en,130.7000000000003
Sunday,Sunday,DATE,,,en,119.10000000000028
thousands,thousands,CARDINAL,,,en,117.80000000000025
Saturday,Saturday,DATE,,,en,116.80000000000024
today,today,DATE,,,en,105.50000000000016
first,first,ORDINAL,,,en,88.50000000000004
this week,this week,DATE,,,en,87.60000000000007
three,three,CARDINAL,,,en,82.30000000000005
hundreds,hundreds,CARDINAL,,,en,68.29999999999995
winter,winter,DATE,,,en,61.49999999999993
Camp Mystic,Camp Mystic,FAC,,,en,60.59999999999993
dozens,dozens,CARDINAL,,,en,58.399999999999935
the weekend,the weekend,DATE,,,en,57.29999999999995
summer,summer,DATE,,,en,56.69999999999995
Thousands,Thousands,CARDINAL,,,en,54.49999999999995
millions,millions,CARDINAL,,,en,53.499999999999936
five,five,CARDINAL,,,en,46.499999999999964
four,four,CARDINAL,,,en,46.29999999999996
this weekend,this weekend,DATE,,,en,45.39999999999996
2025,2025,DATE,,,en,45.39999999999995
days,days,DATE,,,en,44.99999999999997
Christmas,Christmas,DATE,,,en,43.99999999999997
second,second,ORDINAL,,,en,43.59999999999997
Hurricane Melissa,Hurricane Melissa,EVENT,-1.1815331890331893,28.067581168831165,en,42.90000000000001
last week,last week,DATE,,,en,39.099999999999966
morning,morning,TIME,,,en,38.49999999999997
2026,2026,DATE,,,en,37.899999999999984
5,5,CARDINAL,,,en,35.8
25,25,CARDINAL,,,en,35.09999999999998
seven,seven,CARDINAL,,,en,34.299999999999976
Americans,Americans,NORP,,,en,34.19999999999997
Indonesian,Indonesian,NORP,,,en,33.69999999999998
27,27,CARDINAL,,,en,33.59999999999997
Three,Three,CARDINAL,,,en,33.49999999999998
3,3,CARDINAL,,,en,33.39999999999998
The Fine Print,The Fine Print,WORK_OF_ART,,,en,32.89999999999998
tens of thousands,tens of thousands,CARDINAL,,,en,31.899999999999984
years,years,DATE,,,en,30.899999999999984
Palestinians,Palestinians,NORP,,,en,29.999999999999982
One,One,CARDINAL,,,en,29.499999999999982
a week,a week,DATE,,,en,28.399999999999984
this year,this year,DATE,,,en,27.69999999999999
Hundreds,Hundreds,CARDINAL,,,en,27.599999999999984
eight,eight,CARDINAL,,,en,26.69999999999999
the coming days,the coming days,DATE,,,en,26.599999999999987
Chinese,Chinese,NORP,,,en,26.39999999999999
decades,decades,DATE,,,en,26.09999999999999
Consent Framework,Consent Framework,WORK_OF_ART,,,en,26.099999999999987
Two,Two,CARDINAL,,,en,25.999999999999993
overnight,overnight,TIME,,,en,25.89999999999999
six,six,CARDINAL,,,en,25.89999999999999
July,July,DATE,,,en,25.799999999999986
Punjab,Punjab,NORP,-0.09557656791798583,0.40658073270013567,en,24.799999999999997
weeks,weeks,DATE,,,en,24.69999999999999
Millions,Millions,CARDINAL,,,en,24.499999999999996
hundreds of thousands,hundreds of thousands,CARDINAL,,,en,24.199999999999992
17,17,CARDINAL,,,en,24.09999999999999
200,200,CARDINAL,,,en,23.59999999999999
11,11,CARDINAL,,,en,23.099999999999994
4,4,CARDINAL,,,en,22.999999999999993
