,phrase,label,sentiment,subjectivity,language,count
Typhoon Kalmaegi,Typhoon Kalmaegi,PERSON,-0.16351672546089538,0.5358611643443655,en,50.600000000000016
KOTA KINABALU,KOTA KINABALU,PERSON,0.243661009407577,0.9237883588570093,en,43.699999999999974
Met Éireann,Met Éireann,PERSON,0.03246166383219957,0.5054688208616783,en,27.999999999999982
Jason Momoa,Jason Momoa,PERSON,-0.33098370927318305,0.567669172932331,en,26.599999999999987
Storm Claudia,Storm Claudia,PERSON,-0.11099448685326554,0.441210771840543,en,26.19999999999999
Donald Trump,Donald Trump,PERSON,0.1617934436576056,1.9879624764017827,en,17.299999999999997
Cyclone Ditwah,Cyclone Ditwah,PERSON,-0.09765624999999996,0.3476562499999998,en,16.000000000000007
Storm Chandra,Storm Chandra,PERSON,0.13052869116698904,0.38994197292069627,en,14.100000000000001
PETALING JAYA,PETALING JAYA,PERSON,0.27026681286549703,0.6523757309941519,en,11.400000000000002
Storm Bram,Storm Bram,PERSON,0.13360790444123777,0.7902517235850568,en,9.9
Storm Byron,Storm Byron,PERSON,0.03390835355121068,0.3495203209488923,en,9.100000000000001
Ahmad Zahid Hamidi,Ahmad Zahid Hamidi,PERSON,0.058139534883720916,0.5017889087656529,en,8.600000000000001
Prabowo Subianto,Prabowo Subianto,PERSON,0.13008130081300814,0.621951219512195,en,8.200000000000001
Micheál Martin,Micheál Martin,PERSON,0.03595890410958904,0.07363013698630136,en,7.300000000000001
Datuk Seri Dr,Datuk Seri Dr,PERSON,0.1053921568627451,0.6971153846153846,en,6.800000000000001
Hat Yai,Hat Yai,PERSON,0.011393229166666664,0.2513020833333333,en,6.4
Bob Ferguson,Bob Ferguson,PERSON,0.078125,0.078125,en,6.4
Typhoon Fung-wong,Typhoon Fung-wong,PERSON,-0.15190972222222218,0.8140190972222222,en,6.4
Kota Marudu,Kota Marudu,PERSON,-0.047688802083333336,0.6614583333333333,en,6.4
Gibran Rakabuming Raka,Gibran Rakabuming Raka,PERSON,0.13888888888888887,0.6611111111111111,en,6.0
JOHOR BARU,JOHOR BARU,PERSON,0.933047573435504,2.9338585568326945,en,5.800000000000001
James Browne,James Browne,PERSON,0.22916666666666669,0.3055555555555556,en,4.8
Jason Allen,Jason Allen,PERSON,0.25,0.5,en,4.8
Typhoon Bualoi,Typhoon Bualoi,PERSON,-0.003546099290780135,0.3574468085106383,en,4.7
Carter Evans,Carter Evans,PERSON,0.32608695652173914,0.41304347826086957,en,4.6
Storm Amy,Storm Amy,PERSON,0.2992424242424242,0.7443181818181818,en,4.4
Fraser Valley,Fraser Valley,PERSON,0.04761904761904762,0.5952380952380952,en,4.2
Darrel John,Darrel John,PERSON,-0.07999999999999999,0.4333333333333333,en,4.0
Kristi Noem,Kristi Noem,PERSON,-0.4119886363636364,2.2976073232323233,en,3.9999999999999996
Stéphane Dujarric,Stéphane Dujarric,PERSON,0.06756756756756757,0.17567567567567569,en,3.6999999999999997
Josh Green,Josh Green,PERSON,-0.1418918918918919,0.46171171171171177,en,3.6999999999999997
Ata Mai,Ata Mai,PERSON,-0.09909909909909911,0.22222222222222224,en,3.6999999999999997
Ted Sarandos,Ted Sarandos,PERSON,0.0,0.0,en,3.6999999999999997
Rob Marciano,Rob Marciano,PERSON,0.6756756756756758,0.7837837837837838,en,3.6999999999999997
JIM VERTUNO,JIM VERTUNO,PERSON,-0.01891891891891893,0.43513513513513513,en,3.6999999999999997
Storm Goretti,Storm Goretti,PERSON,-0.0756756756756757,0.3027027027027028,en,3.6999999999999997
Sungai Perak,Sungai Perak,PERSON,0.11036036036036037,0.41066066066066065,en,3.6999999999999997
Eddie Wicks,Eddie Wicks,PERSON,0.0,0.0,en,3.6999999999999997
Camp Mystic,Camp Mystic,PERSON,0.09807534807534808,0.2788697788697789,en,3.6999999999999997
Pramono Anung,Pramono Anung,PERSON,0.0,0.16216216216216217,en,3.6999999999999997
Alice Springs,Alice Springs,PERSON,-0.2042042042042042,0.4654654654654655,en,3.6999999999999997
Datuk Seri,Datuk Seri,PERSON,0.22072072072072074,0.7364864864864865,en,3.6999999999999997
Hulu Langat,Hulu Langat,PERSON,0.01936936936936936,0.30990990990990996,en,3.6999999999999997
Simon King,Simon King,PERSON,-0.0765765765765766,0.43693693693693697,en,3.6999999999999997
Nicolas Maduro,Nicolas Maduro,PERSON,0.07207207207207207,0.15165165165165165,en,3.6999999999999997
