,summary,Hazard,Mitigation,Impacts,Causes,word
summaryOfAllWords,179915.05755006988,35833.69999526423,45084.191411152344,66110.72230368371,32886.4438399751,
Onion,20.492618111862537,-0.16255368020242308,0.05445906604863853,0.04893937476055705,-0.014182172041867613,Onion
farmers,22.340266543623162,-0.1661793601671927,0.05507795345563045,0.052351839564934124,-0.019022609012426608,farmers
onion farmer+s,11.466443017486968,-0.13064950869790742,0.05254600869880313,0.025550305603834533,0.007436431561441095,onion farmer+s
blame,14.30959685671252,-0.14376632614506574,0.053600953442032626,0.035416253733846166,-0.002050240286742434,blame
farmer+s blame,14.30959685671252,-0.14376632614506574,0.053600953442032626,0.035416253733846166,-0.002050240286742434,farmer+s blame
flooding,5270.23027300143,-0.2540253808754515,0.05720920233780971,0.121042990323711,-0.0997672183507891,flooding
blame flooding,20.537372397123654,-0.16229223506324125,0.05484855531800501,0.04941287774572905,-0.01601561133837915,blame flooding
climate,102.033234393383,-0.2092305715361296,-0.06722739850612511,-0.019900230299046737,0.288521764068823,climate
flooding climate,12.812612102307828,-0.15375488681039864,0.03565156079467641,0.012480636931029038,0.07722662343218342,flooding climate
change,87.97961587691825,-0.2273612637663424,-0.023041074123057087,0.005978273818995152,0.2157278836468322,change
climate chang+e,88.19722354920295,-0.21480435867641773,-0.022017405867376643,0.00706670942716612,0.20393772931094103,climate chang+e
for,678.7495883137178,-0.10976184804769118,0.011587506786536434,0.08225720908839487,-0.07802634042227602,for
chang+e for,9.761484960597544,-0.13116801361300806,0.03958791737247217,0.005112223540912879,0.06605299962076515,chang+e for
price,12.179691735824136,-0.140622570005625,0.04617640295911586,0.021392612504827924,0.0340953575668236,price
for price,9.299922943106237,-0.12521228102142842,0.042021585440747064,0.005472634128375944,0.056730904755553965,for price
hike,8.752560563025538,-0.11862946070665059,0.04395294575002093,0.004696197946388842,0.04957679320723231,hike
price hike,8.752560563025538,-0.11862946070665059,0.04395294575002093,0.004696197946388842,0.04957679320723231,price hike
The,462.6872388994424,-0.009081189440314304,-0.015650792871393104,0.0519793979672042,-0.07917006330657421,The
hike the,8.386273969659996,-0.11431651111219732,0.04483806666953509,0.0036078233484211015,0.04647513374200317,hike the
the onion,13.552360035911171,-0.14126648630270894,0.052747451860585555,0.03245122902522494,0.00298554283665421,the onion
Producers,11.087330854937639,-0.13172299693892034,0.04891806346765582,0.020366497814850792,0.0240927539062177,Producers
onion producers,11.087330854937639,-0.13172299693892034,0.04891806346765582,0.020366497814850792,0.0240927539062177,onion producers
Processors,10.637805401278024,-0.12804749441010407,0.04974639537640895,0.019472697295342085,0.021280147762733872,Processors
producers processors,10.637805401278024,-0.12804749441010407,0.04974639537640895,0.019472697295342085,0.021280147762733872,producers processors
and,2107.9634400103837,-0.11710478873133143,0.011712274078600414,0.08873794803473083,-0.08586393370941674,and
processors and,10.422288552130427,-0.12593391126394196,0.05044676466895145,0.019323011205750106,0.018603059468581998,processors and
Marketers,10.37617113460526,-0.12552676558752898,0.05054132038639199,0.01922996861354997,0.018272335341068372,Marketers
and marketers,10.37617113460526,-0.12552676558752898,0.05054132038639199,0.01922996861354997,0.018272335341068372,and marketers
Association,10.30700629361915,-0.12485278482687946,0.05074685247226224,0.019154654540604513,0.01749630521334231,Association
marketers association,10.30700629361915,-0.12485278482687946,0.05074685247226224,0.019154654540604513,0.01749630521334231,marketers association
Nigeria,23.374405074800066,-0.1697486746818159,0.05358002557776882,0.05222329893557963,-0.013201269628681954,Nigeria
association nigeria,11.053036558678244,-0.13011495107463752,0.050415046770121895,0.02179606595043974,0.01760060567841334,association nigeria
has,406.6477789544122,-0.10043001709712476,0.013616916168000771,0.07491139972349596,-0.07370761646758134,has
nigeria has,11.030615823239302,-0.12819084559557625,0.05233121445980247,0.02370741612633361,0.009175540328086313,nigeria has
attributed,11.240255534757228,-0.1293919650756083,0.05243683465032008,0.02460743229815162,0.008327502895087989,attributed
has attributed,11.240255534757228,-0.1293919650756083,0.05243683465032008,0.02460743229815162,0.008327502895087989,has attributed
the,2548.4971662512175,-0.09480834341036486,-0.00503582831946973,0.07336776272632978,-0.04875874116498081,the
attributed the,12.374953207297953,-0.13810730411926492,0.04997951118921874,0.025991041559825716,0.017213884969631197,attributed the
surge,25.396058586360216,-0.1718313112497383,0.05539357618273612,0.05662243847765879,-0.02343757308280717,surge
the surge,25.396058586360216,-0.1718313112497383,0.05539357618273612,0.05662243847765879,-0.02343757308280717,the surge
onion,12.948487570318601,-0.1380355601915963,0.05315857550745392,0.031099315667093695,0.0021372881806530604,onion
surge onion,12.948487570318601,-0.1380355601915963,0.05315857550745392,0.031099315667093695,0.0021372881806530604,surge onion
prices,19.060058328711104,-0.15871802542587882,0.05462824732102819,0.046710140366634845,-0.013273002363513756,prices
onion price+s,13.564777253479111,-0.1407380722520347,0.05337070404520117,0.03313397810957561,0.00017069560094421093,onion price+s
price+s and,10.422288552130427,-0.12593391126394196,0.05044676466895145,0.019323011205750106,0.018603059468581998,price+s and
scarcity,15.065912951054028,-0.14660804780814707,0.05380999985524054,0.03755995601431408,-0.004150761250177027,scarcity
and scarcity,15.065912951054028,-0.14660804780814707,0.05380999985524054,0.03755995601431408,-0.004150761250177027,and scarcity
across,241.50721120463092,-0.07779567165583,0.006736063837557658,0.061801473712109256,-0.05748994214416498,across
scarcity across,16.920841011430202,-0.1527568693757135,0.05423977158441857,0.0422037047539093,-0.00874876333526168,scarcity across
across the,81.53663459262569,-0.1720020211491995,0.006630605397089392,0.041193158313107374,0.0755948363023056,across the
country,61.06155262358826,-0.023921640343637404,0.009196525432929838,0.02600133477711209,-0.04068114443021858,country
the country,49.032496495936435,-0.0612700700946796,0.007388857823424537,0.0317438806870879,-0.01030036051726122,the country
country flooding,36.56900707151151,-0.1863154369219889,0.056116097410415365,0.06753181601326379,-0.03495705364177394,country flooding
flooding and,330.18214108908904,-0.21974725120473718,0.050614263322402805,0.1048096035504396,-0.08158813749217535,flooding and
and climate,21.291488427616127,-0.18340136479835206,0.03451950984788648,0.029596027291149365,0.07143529868523532,and climate
interview,14.516285282639316,-0.1534993573242094,0.04416065902241899,0.026161042128155655,0.03909559102199385,interview
with,450.60857354495363,-0.07807329115484016,0.013818980853277102,0.06404733179688868,-0.0727934464467982,with
interview with,13.277985038865841,-0.14558655953734473,0.046787107930000994,0.025463919180517054,0.02967085926063561,interview with
with the,63.873750284118124,-0.012909507178627285,0.003437464630488813,0.03677079126515279,-0.06832131872414164,with the
News,68.70254582250936,-0.10489851522038901,0.02110874153117743,0.05037787398448735,-0.024912280611094798,News
the news,7.767862660234201,-0.12373535513684265,0.02735037683257627,0.029055755205149573,0.02910989175456264,the news
