keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew
'flooding rain',en,Hazard,#4287f5,#3b4a63,3,0.2361808266315875
'flooding residents',en,Impacts,#a89216,#87830f,3,0.2086354135384108
'flooding atmospheric river',en,Causes,#679e2c,#7db344,3,0.2048783976610123
'flooding landslide',en,Impacts,#a89216,#bfba22,3,0.1624986741438555
'flooding area',en,Hazard,#4287f5,#315fa8,3,0.1592721563704121
'flooding victims',en,Impacts,#a89216,#87830f,3,0.1440970499306646
'flooding prayer',en,Hazard,#4287f5,#3b4a63,2,0.1323886970080653
'flooding weather',en,Causes,#679e2c,#61d01c,3,0.132214624294376
'flooding relief',en,Mitigation,#9e3215,#802d16,3,0.1310996626778666
'flooding storm',en,Causes,#679e2c,#61b00c,3,0.1284977084154435
'flooding disaster',en,Impacts,#a89216,#87830f,3,0.1283345620821866
'floods',en,Hazard,#4287f5,#638ed4,3,0.126668541720249
'flooding disruption',en,Impacts,#b8a216,#bfba22,3,0.1238417853209797
'flooding evacuation',en,Mitigation,#9e3215,#9e3215,3,0.1236217359308788
'flood World Weather Attribution',en,Causes,#679e2c,#61d01c,1,0.1226839383703088
'deluge rain',en,Hazard,#4287f5,#315fa8,3,0.1184970765374953
'flooding protection',en,Adaptation,#9e32e5,#d641e8,3,0.1160066239118097
'flooding donation',en,Mitigation,#9e3215,#802d16,1,0.1141399403613645
'flooding damage',en,Impacts,#a89216,#c4b03b,3,0.1085022924559786
'flooding buildings',en,Impacts,#a89216,#a89216,3,0.1062436519485234
'flooding precipitation',en,Causes,#679e2c,#679e2c,3,0.1029661800369196
'tidal surge',en,Hazard,#4287f5,#3b4a63,2,0.1015240471992292
'flooding military',en,Adaptation,#9e32e5,#d641e8,3,0.0979205437178422
'flooding climate change',en,Causes,#679e2c,#477515,3,0.0947778847706724
'flooding death',en,Impacts,#a89216,#87830f,3,0.0937816171170601
'flooding health',en,Impacts,#a89216,#bfba22,3,0.0895064361370997
'flooding house',en,Impacts,#a89216,#a89216,3,0.0886829996197726
'flooding mudslide',en,Impacts,#a89216,#87831f,1,0.0760505500930315
'flooding insurance',en,Mitigation,#9e3215,#802d16,3,0.0693783604775009
'flooding',en,Hazard,#4287f5,#022f78,3,0.0560966192904934
'flooding brigade',en,Mitigation,#9e3215,#802d16,1,0.0559575287243457
'flooding solidarity',en,Mitigation,#9e3215,#b55035,2,0.0504673054563251
